"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2016,"CBI","BM4",-2.1467523,-1.7925802,-0.4211397,12.62959408,17.2783341,23.94101032,11.94876304,0,5.3188399,2.637406,-8.07256296,0,0,1,10.79349685,2.1467523,0.4211397,1.7925802,0.504878539719594,1,1,0,"BM1",2.0982007,0.4235151,1.8476665,0.839725259446787,17.86916801,19.72291648,6.089772112,0,4.8770569,2.7091031,3.648306,1,0,0,2.680312487,-0.594531249503093,-0.675330199669604,-0.309289383001818,-0.0397740772315315,1,0,0
2017,"CBI","BM2",-2.7893104,-1.3931537,-0.3977194,12.71710408,19.30734545,23.0998864,17.81037924,0,5.2151176,2.6699598,-13.95872784,0,0,1,29.87164421,2.7893104,0.3977194,1.3931537,0.262146173485315,1,1,0,"BM4",2.1467523,0.4211397,1.7925802,0.504878539719594,17.2783341,23.94101032,11.94876304,0,5.3188399,2.637406,-8.07256296,1,0,0,10.79349685,-0.45035493795385,-0.454539196764223,-0.703789638758364,-0.0175802518055177,0,0,0
2018,"CBI","BM2",-4.0553633,-1.6289449,-0.4023436,12.69534345,18.13820388,24.03181231,21.48401625,0,8.8778837,2.4999045,-28.9609387,0,0,1,25.16254211,4.0553633,0.4023436,1.6289449,-0.045141648884543,1,1,0,"BM2",2.7893104,0.3977194,1.3931537,0.262146173485315,19.30734545,23.0998864,17.81037924,0,5.2151176,2.6699598,-13.95872784,1,0,0,29.87164421,-0.143530817027399,-0.107576154211093,-0.961927979843429,-0.00481737336022448,0,1,0
2019,"CBI","BM2",-2.0936883,-1.7343204,-0.411192,12.70902031,17.46607703,24.18467232,19.29067565,0,12.7342695,2.32687,-30.56023985,0,0,1,31.49116694,2.0936883,0.411192,1.7343204,0.166458852254249,1,1,0,"BM2",4.0553633,0.4023436,1.6289449,-0.045141648884543,18.13820388,24.03181231,21.48401625,0,8.8778837,2.4999045,-28.9609387,1,0,0,25.16254211,-0.13615744115608,-0.0874184852241285,-0.967480342497871,-0.00230545602882375,0,1,0
2020,"CBI","BM2",-2.4251435,-2.5019278,-0.4688424,12.78338548,16.62425851,25.44743498,18.92032657,0,13.6752941,2.2451674,-5.556154723,0,0,1,31.37244193,2.4251435,0.4688424,2.5019278,0.48418773181626,1,0,1,"BM2",2.0936883,0.411192,1.7343204,0.166458852254249,17.46607703,24.18467232,19.29067565,0,12.7342695,2.32687,-30.56023985,1,0,0,31.49116694,-0.134319569402053,-0.0795669832720619,-0.96788074404308,-0.0169186083142689,0,1,0
2021,"CBI","BM2",-3.7015632,-1.777576,-0.4055999,12.81913439,17.01052574,26.24103296,16.54879232,0,10.7452138,2.1178824,-4.115,0,0,1,33.36450613,3.7015632,0.4055999,1.777576,0.72510969586538,0,0,0,"BM2",2.4251435,0.4688424,2.5019278,0.48418773181626,16.62425851,25.44743498,18.92032657,0,13.6752941,2.2451674,-5.556154723,1,0,0,31.37244193,-0.112965851444786,-0.0286143466478344,-0.981028422926924,-0.00253360208302489,0,1,0
2022,"CBI","BM2",-3.9661799,-1.9053039,-0.4283399,12.86468661,14.0380949,28.16477158,14.84154419,0,16.2318577,1.9946396,4.244526,0,0,1,31.90970112,3.9661799,0.4283399,1.9053039,0.944022595552424,0,0,0,"BM2",3.7015632,0.4055999,1.777576,0.72510969586538,17.01052574,26.24103296,16.54879232,0,10.7452138,2.1178824,-4.115,1,0,0,33.36450613,-0.118049628352463,-0.0459392096056927,-0.977400196082715,-0.00722040981674008,0,1,0
2023,"CBI","BM2",-3.3726239,-1.4329618,-0.3998369,12.91451595,13.95330606,29.99681127,8.442569983,0,15.1366237,1.8842668,5.587302,0,0,1,25.91768207,3.3726239,0.3998369,1.4329618,1.4904628592681,0,0,0,"BM2",3.9661799,0.4283399,1.9053039,0.944022595552424,14.0380949,28.16477158,14.84154419,0,16.2318577,1.9946396,4.244526,1,0,0,31.90970112,-0.157810592934772,-0.0322970121655104,-0.970086002896069,-0.0137136673143651,0,1,0
2024,"CBI","BM2",-4.7628566,-1.7390218,-0.4306012,13.00958136,13.89427579,28.91306501,4.50470294,0,12.8877169,1.7715156,8.322521,0,0,1,20.14342593,4.7628566,0.4306012,1.7390218,1.80648194914382,0,0,0,"BM2",3.3726239,0.3998369,1.4329618,1.4904628592681,13.95330606,29.99681127,8.442569983,0,15.1366237,1.8842668,5.587302,1,0,0,25.91768207,-0.299551898471642,-0.129067160279397,-0.883899156077605,-0.158485862040374,0,1,0
2006,"CORP*","BM1",-5.6811134,-2.5691815,-0.6128544,10.60922097,12.00235631,24.088614,2.561435849,0,2.5438878,1.5187696,13.824926,0,0,1,3.704656195,5.6811134,0.6128544,2.5691815,-0.83635425879208,0,0,0,"BM1",2.6177806,0.5485392,2.065883,-1.13122423735187,11.10465629,23.69867528,3.412589625,0,2.6051899,1.4820287,13.811681,1,0,0,6.362108149,-0.491707024309906,-0.803187752855576,-0.160371402568452,-0.0708308085050457,1,0,0
2007,"CORP*","BM1",-3.4853415,-2.9429925,-0.6684456,10.87276238,14.00114164,20.11003412,2.054434291,0,2.1322211,1.5705558,15.017085,0,0,1,4.796287151,3.4853415,0.6684456,2.9429925,-0.574550051787846,1,0,1,"BM1",5.6811134,0.6128544,2.5691815,-0.83635425879208,12.00235631,24.088614,2.561435849,0,2.5438878,1.5187696,13.824926,1,0,0,3.704656195,-0.464776957699955,-0.825316873268334,-0.139965555519433,-0.067755956052984,1,0,0
2008,"CORP*","BM2",-4.1787834,-4.0356697,-0.7910429,11.10642504,15.74967154,17.09927355,1.47236789,0,1.7814687,1.6693793,18.38856,0,0,1,5.275205686,4.1787834,0.7910429,4.0356697,-0.311783317009352,1,0,1,"BM1",3.4853415,0.6684456,2.9429925,-0.574550051787846,14.00114164,20.11003412,2.054434291,0,2.1322211,1.5705558,15.017085,1,0,0,4.796287151,-0.468351116597782,-0.827420220752969,-0.118440699286345,-0.0745557834236393,1,0,0
2009,"CORP*","BM4",-2.8150302,-3.3480658,-0.6966319,11.37258017,17.74852093,14.5873154,1.142965292,0,1.2127092,1.8208282,19.567509,0,0,1,18.65795741,2.8150302,0.6966319,3.3480658,-0.0311280537050041,1,0,1,"BM2",4.1787834,0.7910429,4.0356697,-0.311783317009352,15.74967154,17.09927355,1.47236789,0,1.7814687,1.6693793,18.38856,1,0,0,5.275205686,-0.484260249619603,-0.821165145468494,-0.108664224391191,-0.0716915957428267,0,1,0
2010,"CORP*","BM4",-2.028753,-1.9286522,-0.5292745,11.62327918,19.33677744,14.85613586,1.023023289,0,0.8357257,1.9535546,21.932525,0,0,1,16.60041089,2.028753,0.5292745,1.9286522,0.318049085046678,0,0,0,"BM4",2.8150302,0.6966319,3.3480658,-0.0311280537050041,17.74852093,14.5873154,1.142965292,0,1.2127092,1.8208282,19.567509,1,0,0,18.65795741,-0.460449896274085,-0.767501324504059,-0.181996954469826,-0.235399696043679,0,0,0
2011,"CORP*","BM4",-1.6932478,-2.4567212,-0.6041239,11.87415019,20.1054129,15.79915411,0.906087306,0,0.731543,2.0788837,21.889623,0,0,1,21.21280186,1.6932478,0.6041239,2.4567212,0.62782679008011,0,0,0,"BM4",2.028753,0.5292745,1.9286522,0.318049085046678,19.33677744,14.85613586,1.023023289,0,0.8357257,1.9535546,21.932525,1,0,0,16.60041089,-0.46402777418341,-0.78042758856213,-0.207133435150175,-0.166765584361295,0,0,0
2012,"CORP*","BM4",-1.9658693,-2.057631,-0.5588634,12.00493775,19.76339914,12.29152578,1.263770105,0,0.6966576,2.1095712,19.541565,0,0,1,10.96842512,1.9658693,0.5588634,2.057631,0.551765597018027,0,0,0,"BM4",1.6932478,0.6041239,2.4567212,0.62782679008011,20.1054129,15.79915411,0.906087306,0,0.731543,2.0788837,21.889623,1,0,0,21.21280186,-0.437873772121441,-0.736796095435868,-0.281579440525106,-0.250997100230347,0,0,0
2013,"CORP*","BM4",-3.0160771,-2.1074911,-0.5620601,12.17273473,20.22250229,11.78596816,1.716096697,0,0.6411118,2.2343562,16.082334,0,0,1,10.85262101,3.0160771,0.5620601,2.1074911,0.641053191937972,0,0,0,"BM4",1.9658693,0.5588634,2.057631,0.551765597018027,19.76339914,12.29152578,1.263770105,0,0.6966576,2.1095712,19.541565,1,0,0,10.96842512,-0.506632173428313,-0.790013195253058,-0.144114527634352,-0.10831116027404,0,0,0
2014,"CORP*","BM4",-2.0590762,-1.7073387,-0.5142427,12.31065097,22.01746609,12.20020701,3.41654902,0,0.647664,2.2663669,5.717004,0,0,1,13.38978141,2.0590762,0.5142427,1.7073387,0.716345485649199,0,0,0,"BM4",3.0160771,0.5620601,2.1074911,0.641053191937972,20.22250229,11.78596816,1.716096697,0,0.6411118,2.2343562,16.082334,1,0,0,10.85262101,-0.500454311717168,-0.793262063695475,-0.144667658092814,-0.110399667835837,0,0,0
2015,"CORP*","BM1",-2.2523575,-2.0013366,-0.5471593,12.32825938,21.55500943,12.00327137,4.811311851,0,0.668493,2.1130935,5.680773,0,0,1,15.46235487,2.2523575,0.5471593,2.0013366,0.647385071569262,1,1,0,"BM4",2.0590762,0.5142427,1.7073387,0.716345485649199,22.01746609,12.20020701,3.41654902,0,0.647664,2.2663669,5.717004,1,0,0,13.38978141,-0.425792780935308,-0.818666575182443,-0.193764411932763,-0.123048534825777,0,0,0
2016,"CORP*","BM1",-2.401609,-1.9747046,-0.5440723,12.36676027,20.66391465,13.6174567,9.981889705,0,0.824532,2.0328736,-4.635899863,0,0,1,13.74642524,2.401609,0.5440723,1.9747046,0.304438310945045,1,1,0,"BM1",2.2523575,0.5471593,2.0013366,0.647385071569262,21.55500943,12.00327137,4.811311851,0,0.668493,2.1130935,5.680773,1,0,0,15.46235487,-0.462179737445142,-0.782546938937046,-0.252096562109964,-0.103697805708965,1,0,0
2017,"CORP*","BM1",-1.5872394,-1.6413549,-0.5066651,12.42074463,19.50063918,13.74798323,11.69805844,0,0.8175372,1.9849764,4.661600049,0,0,1,13.6151291,1.5872394,0.5066651,1.6413549,0.260553572794998,1,1,0,"BM1",2.401609,0.5440723,1.9747046,0.304438310945045,20.66391465,13.6174567,9.981889705,0,0.824532,2.0328736,-4.635899863,1,0,0,13.74642524,-0.483113436026447,-0.709926176936841,-0.406951236147168,-0.0284452760210181,1,0,0
2018,"CORP*","BM1",-1.9112145,-1.8269851,-0.526046,12.30994293,20.45863298,16.05146245,17.3535361,0,1.6264671,1.5543147,-34.41699649,0,0,1,9.866211145,1.9112145,0.526046,1.8269851,-0.230261322337939,1,1,0,"BM1",1.5872394,0.5066651,1.6413549,0.260553572794998,19.50063918,13.74798323,11.69805844,0,0.8175372,1.9849764,4.661600049,1,0,0,13.6151291,-0.561527095491211,-0.554091008550304,-0.530554623572849,-0.00890610388301573,1,0,0
2019,"CORP*","BM4",-1.6732263,-1.9356297,-0.538906,12.2717567,12.89342844,19.92642457,15.34538952,0,4.5635072,1.4322415,-46.20808536,0,1,1,15.72024264,1.6732263,0.538906,1.9356297,-0.493929937150964,1,1,0,"BM1",1.9112145,0.526046,1.8269851,-0.230261322337939,20.45863298,16.05146245,17.3535361,0,1.6264671,1.5543147,-34.41699649,1,0,0,9.866211145,-0.369720596269442,-0.691505511252079,-0.542246220106406,-0.00697569401032284,1,0,0
2020,"CORP*","BM4",-7.6960099,-2.1384339,-0.5598452,12.34383158,16.69322793,25.98016574,13.8030939,0,4.5297352,1.4694391,-15.77811429,0,1,1,21.68298579,7.6960099,0.5598452,2.1384339,0.378083717661612,1,0,1,"BM4",1.6732263,0.538906,1.9356297,-0.493929937150964,12.89342844,19.92642457,15.34538952,0,4.5635072,1.4322415,-46.20808536,1,0,1,15.72024264,-0.536518880486157,-0.318914422323994,-0.723681295366681,-0.0000175623449789901,0,0,0
2021,"CSB","BM4",-2.3099395,-1.8606336,-0.4537055,10.05781052,10.70409455,33.51048037,2.683535291,0,3.4796752,0.1228475,10.548,0,0,0,21.71175613,2.3099395,0.4537055,1.8606336,-0.758476340101419,0,0,0,"BM1",4.4306952,0.5284376,2.2092484,-1.262990879833,9.621349344,30.80111515,3.542060837,0,4.0951587,0.112992,0.7501981,0,0,0,20.85076041,-0.380738594145135,-0.738301398496059,-0.130620444888689,-0.424247074594816,1,0,0
2022,"CSB","BM1",-2.9437928,-1.8127233,-0.425666,10.1407814,9.563359481,34.41319904,1.809664839,0,2.6424676,0.117506,18.978874,0,0,0,22.48771569,2.9437928,0.425666,1.8127233,-0.607376250898299,0,0,0,"BM4",2.3099395,0.4537055,1.8606336,-0.758476340101419,10.70409455,33.51048037,2.683535291,0,3.4796752,0.1228475,10.548,0,0,0,21.71175613,-0.40478505856047,-0.732252134232077,-0.214562044515038,-0.36099621529113,0,0,0
2023,"CSB","BM1",-1.8786843,-1.4604193,-0.4187247,10.28063142,9.102897111,35.74985155,1.259784489,0,2.195857,0.1285164,18.697152,0,0,0,28.80628714,1.8786843,0.4187247,1.4604193,-0.423030403791717,0,0,0,"BM1",2.9437928,0.425666,1.8127233,-0.607376250898299,9.563359481,34.41319904,1.809664839,0,2.6424676,0.117506,18.978874,0,0,0,22.48771569,-0.454340986909897,-0.697015381915106,-0.234154691427308,-0.354636241611953,1,0,0
2024,"CSB","BM1",-1.4856445,-1.7335357,-0.435504,10.49282829,9.479321319,36.47042817,1.469461966,0,1.9669053,0.1367423,16.178099,0,0,0,32.55575848,1.4856445,0.435504,1.7335357,-0.196837814785924,0,0,0,"BM1",1.8786843,0.4187247,1.4604193,-0.423030403791717,9.102897111,35.74985155,1.259784489,0,2.195857,0.1285164,18.697152,0,0,0,28.80628714,-0.363325544890658,-0.573809066812051,-0.24752866955055,-0.588859266731868,1,0,0
2006,"CUB","BM1",-3.3473708,-2.5801638,-0.6043708,8.325317806,14.4229225,19.17486494,4.320224224,0,4.7163778,0.1625059,21.399677,0,0,0,24.01204511,3.3473708,0.6043708,2.5801638,-2.81424753149381,0,0,0,"BM1",2.275623,0.5240537,2.0534696,-3.05939288982857,14.52074668,19.31492741,5.883491388,0,5.6372389,0.1684431,20.884266,0,0,0,33.08308649,-0.494580063341677,-0.74470916514461,-0.250436554142304,-0.166896355355136,1,0,0
2007,"CUB","BM1",-3.9279145,-2.9577758,-0.6594867,8.587281391,14.6647512,19.83890288,2.573964497,0,3.7351752,0.174247,22.032486,0,0,0,25.64423365,3.9279145,0.6594867,2.9577758,-2.41312601926141,1,0,1,"BM1",3.3473708,0.6043708,2.5801638,-2.81424753149381,14.4229225,19.17486494,4.320224224,0,4.7163778,0.1625059,21.399677,0,0,0,24.01204511,-0.480291336558984,-0.809992856762145,-0.131243051574746,-0.107354892786005,1,0,0
2008,"CUB","BM1",-4.6704309,-4.1371749,-0.8574374,8.902314943,12.96430205,16.01627579,1.81420765,0,3.4890656,0.1935192,21.817291,0,0,0,12.6824511,4.6704309,0.8574374,4.1371749,-2.31837401264076,1,0,1,"BM1",3.9279145,0.6594867,2.9577758,-2.41312601926141,14.6647512,19.83890288,2.573964497,0,3.7351752,0.174247,22.032486,0,0,0,25.64423365,-0.432613358309225,-0.81731784677593,-0.113685502993459,-0.193829363993206,1,0,0
2009,"CUB","BM4",-3.801521,-3.5141507,-0.7981817,9.132487689,13.99721266,15.03412139,1.795217209,0,2.7258336,0.2019743,19.89525,0,0,0,16.20928693,3.801521,0.7981817,3.5141507,-2.08647643205445,1,0,1,"BM1",4.6704309,0.8574374,4.1371749,-2.31837401264076,12.96430205,16.01627579,1.81420765,0,3.4890656,0.1935192,21.817291,0,0,0,12.6824511,-0.508304275928836,-0.818747629732964,-0.0346848434398474,-0.085018216811447,1,0,0
2010,"CUB","BM1",-1.8401194,-1.9962969,-0.5272263,9.355257689,14.00064908,15.07589666,1.355718886,0,2.5682617,0.2166582,20.552879,0,0,0,20.51680455,1.8401194,0.5272263,1.9962969,-1.83515167083106,0,0,0,"BM4",3.801521,0.7981817,3.5141507,-2.08647643205445,13.99721266,15.03412139,1.795217209,0,2.7258336,0.2019743,19.89525,0,0,0,16.20928693,-0.483467923563843,-0.824115469597189,-0.0390359069558125,-0.122985252264241,0,0,0
2011,"CUB","BM1",-2.5946596,-2.4796351,-0.5746204,9.588195735,14.49551644,15.72896049,1.205707817,0,2.177096,0.2299604,23.474215,0,0,0,21.56253124,2.5946596,0.5746204,2.4796351,-1.52282604265176,0,0,0,"BM1",1.8401194,0.5272263,1.9962969,-1.83515167083106,14.00064908,15.07589666,1.355718886,0,2.5682617,0.2166582,20.552879,0,0,0,20.51680455,-0.486895580699712,-0.794369933253954,-0.0472551586967333,-0.211814407882944,1,0,0
2012,"CUB","BM1",-0.9574948,-2.0174816,-0.4874219,9.817420706,14.76204944,14.69778477,1.010497721,0,1.7697011,0.2532058,24.914374,0,0,0,26.04143997,0.9574948,0.4874219,2.0174816,-1.30522786471765,0,0,0,"BM1",2.5946596,0.5746204,2.4796351,-1.52282604265176,14.49551644,15.72896049,1.205707817,0,2.177096,0.2299604,23.474215,0,0,0,21.56253124,-0.505062745662066,-0.780314703173128,-0.0604577718399792,-0.212031479478815,1,0,0
2013,"CUB","BM1",-1.6186859,-2.0357551,-0.4883986,10.04225257,14.00470735,15.19662549,1.12821061,0,1.4770144,0.2732926,22.3331,0,0,0,30.02594056,1.6186859,0.4883986,2.0357551,-1.14764491643456,0,0,0,"BM1",0.9574948,0.4874219,2.0174816,-1.30522786471765,14.76204944,14.69778477,1.010497721,0,1.7697011,0.2532058,24.914374,0,0,0,26.04143997,-0.511446937300311,-0.734702959803741,-0.0701279807642301,-0.307926577747603,1,0,0
2014,"CUB","BM1",-1.56487,-1.6108283,-0.4193297,10.1263841,12.34304385,16.21742975,1.806378601,0,1.4466997,0.2580153,18.936831,0,0,0,29.58084326,1.56487,0.4193297,1.6108283,-1.19815735675983,0,0,0,"BM1",1.6186859,0.4883986,2.0357551,-1.14764491643456,14.00470735,15.19662549,1.12821061,0,1.4770144,0.2732926,22.3331,0,0,0,30.02594056,-0.47914797114394,-0.66444358393264,-0.0750436451533907,-0.465023535356263,1,0,0
2015,"CUB","BM1",-0.9170597,-1.8980723,-0.4724223,10.23534655,10.33978756,16.36931194,1.856534579,0,1.2956729,0.2551979,16.736542,0,0,0,30.80411256,0.9170597,0.4724223,1.8980723,-1.23557038170403,1,1,0,"BM1",1.56487,0.4193297,1.6108283,-1.19815735675983,12.34304385,16.21742975,1.806378601,0,1.4466997,0.2580153,18.936831,0,0,0,29.58084326,-0.494176174421986,-0.640521340073481,-0.0729675293097604,-0.482590555820659,1,0,0
2016,"CUB","BM1",-2.0683294,-1.8821324,-0.4759866,10.36734613,10.42070973,16.62783707,2.408974691,0,1.2072333,0.2690882,15.47426586,0,0,0,30.89659575,2.0683294,0.4759866,1.8821324,-1.13834347926048,1,1,0,"BM1",0.9170597,0.4724223,1.8980723,-1.23557038170403,10.33978756,16.36931194,1.856534579,0,1.2956729,0.2551979,16.736542,0,0,0,30.80411256,-0.474381458867072,-0.55976887231617,-0.0571906167210988,-0.594687192362209,1,0,0
2017,"CUB","BM1",-0.2914681,-1.4975903,-0.4085011,10.47081002,9.879222648,18.83611274,2.828339055,0,1.0765284,0.2710334,15.18435916,0,0,0,30.42696686,0.2914681,0.4085011,1.4975903,-1.01674757627318,1,1,0,"BM1",2.0683294,0.4759866,1.8821324,-1.13834347926048,10.42070973,16.62783707,2.408974691,0,1.2072333,0.2690882,15.47426586,0,0,0,30.89659575,-0.4935098770531,-0.564881312970836,-0.0665290258707041,-0.571017791196799,1,0,0
2018,"CUB","BM1",-0.615986,-1.7644524,-0.4585431,10.59506463,9.592838843,19.18018758,3.033268777,0,1.0261614,0.2785536,15.3100936,0,0,0,33.55940299,0.615986,0.4585431,1.7644524,-0.912878591090235,1,1,0,"BM1",0.2914681,0.4085011,1.4975903,-1.01674757627318,9.879222648,18.83611274,2.828339055,0,1.0765284,0.2710334,15.18435916,0,0,0,30.42696686,-0.514582769723302,-0.572105404945153,-0.0857627313990465,-0.538339277800545,1,0,0
2019,"CUB","BM1",-0.8893452,-1.8896336,-0.4853422,10.72015436,9.349546698,20.69075693,2.954914903,0,1.0436578,0.298355,15.16774647,0,0,0,32.95965928,0.8893452,0.4853422,1.8896336,-0.746441067748885,1,1,0,"BM1",0.615986,0.4585431,1.7644524,-0.912878591090235,9.592838843,19.18018758,3.033268777,0,1.0261614,0.2785536,15.3100936,0,0,0,33.55940299,-0.486562961122376,-0.506172537260783,-0.0958593341724304,-0.621234632557347,1,0,0
2020,"CUB","BM1",-6.4840414,-2.6625873,-0.6438,10.81443469,9.390653533,20.90810467,4.087786473,0,0.8845698,0.2921815,9.397725805,0,0,0,30.75335666,6.4840414,0.6438,2.6625873,-0.758242486443463,1,0,1,"BM1",0.8893452,0.4853422,1.8896336,-0.746441067748885,9.349546698,20.69075693,2.954914903,0,1.0436578,0.298355,15.16774647,0,0,0,32.95965928,-0.483867086931199,-0.499497497043965,-0.104806468704811,-0.626069404512307,1,0,0
2021,"CUB","BM1",-2.6566754,-1.8820488,-0.515079,10.88391078,9.124843863,21.78093218,5.113889448,0,0.7099661,0.2858565,10.645,0,0,0,29.15282084,2.6566754,0.515079,1.8820488,-0.729868496982868,0,0,0,"BM1",6.4840414,0.6438,2.6625873,-0.758242486443463,9.390653533,20.90810467,4.087786473,0,0.8845698,0.2921815,9.397725805,0,0,0,30.75335666,-0.512001065912759,-0.556275827457369,-0.112968925751482,-0.547644133681585,1,0,0
2022,"CUB","BM1",-2.8744305,-1.9714146,-0.5113184,11.02729501,9.343101606,22.20994757,4.697199753,0,0.5764859,0.2775779,12.232926,0,0,0,30.75920038,2.8744305,0.5113184,1.9714146,-0.516962157190195,0,0,0,"BM1",2.6566754,0.515079,1.8820488,-0.729868496982868,9.124843863,21.78093218,5.113889448,0,0.7099661,0.2858565,10.645,0,0,0,29.15282084,-0.597684929505777,-0.587735347692998,-0.15266069124159,-0.393258469084766,1,0,0
2023,"CUB","BM1",-2.2054891,-1.5388763,-0.4098339,11.1063782,8.930224603,20.90931549,4.366898032,0,0.4976842,0.2747913,13.351636,0,0,0,32.00568012,2.2054891,0.4098339,1.5388763,-0.485855353451109,0,0,0,"BM1",2.8744305,0.5113184,1.9714146,-0.516962157190195,9.343101606,22.20994757,4.697199753,0,0.5764859,0.2775779,12.232926,0,0,0,30.75920038,-0.578058104323077,-0.557463811780303,-0.164041233037074,-0.452673731053919,1,0,0
2024,"CUB","BM1",-2.6584889,-1.8691333,-0.4648596,11.16797959,8.430214363,22.42746623,3.98961199,0,0.4406931,0.2560876,12.80981,0,0,0,32.04163804,2.6584889,0.4648596,1.8691333,-0.374272684546032,0,0,0,"BM1",2.2054891,0.4098339,1.5388763,-0.485855353451109,8.930224603,20.90931549,4.366898032,0,0.4976842,0.2747913,13.351636,0,0,0,32.00568012,-0.575645399859835,-0.514888171458639,-0.139855141087401,-0.513584022217507,1,0,0
2007,"DCB","BM1",-4.819171,-2.9302292,-0.8717265,8.568294359,15.67073552,38.93053717,5.139035551,0,24.7402898,0.1637118,2.948865,0,0,0,20.65327783,4.819171,0.8717265,2.9302292,-1.59963798419201,1,0,1,"BM1",7.7275178,0.6840165,2.0096993,-2.29943078965328,22.78929908,45.15573303,15.00848314,0,21.0629728,0.1443166,-46.896027,0,0,0,22.53199561,-0.053035293463517,-0.370830911742627,-0.89392361214192,-0.0466473004378284,1,0,0
2008,"DCB","BM1",-8.5777627,-4.1964793,-1.1859007,8.933591632,11.91944852,32.33596325,1.534713764,0,17.1802304,0.182974,7.887375,0,0,0,17.8106337,8.5777627,1.1859007,4.1964793,-1.59138291482644,1,0,1,"BM1",4.819171,0.8717265,2.9302292,-1.59963798419201,15.67073552,38.93053717,5.139035551,0,24.7402898,0.1637118,2.948865,0,0,0,20.65327783,-0.328124580960382,-0.456090137612291,-0.637351389993773,-0.375151645834927,1,0,0
2009,"DCB","BM1",-6.5003654,-3.2731499,-0.8957345,8.689977681,9.932629158,31.6203494,8.780046264,0,22.0512722,0.1143653,-14.272522,0,0,0,13.00296595,6.5003654,0.8957345,3.2731499,-2.5276745129949,1,0,1,"BM1",8.5777627,1.1859007,4.1964793,-1.59138291482644,11.91944852,32.33596325,1.534713764,0,17.1802304,0.182974,7.887375,0,0,0,17.8106337,-0.392186194744308,-0.577850656361463,-0.168335165775004,-0.601804837813597,1,0,0
2010,"DCB","BM1",-2.2702835,-1.858965,-0.6069207,8.722036747,10.20896701,35.44711905,8.690869386,0,21.9451712,0.1008513,-13.081106,0,0,0,6.192460052,2.2702835,0.6069207,1.858965,-2.31349291488196,0,0,0,"BM1",6.5003654,0.8957345,3.2731499,-2.5276745129949,9.932629158,31.6203494,8.780046264,0,22.0512722,0.1143653,-14.272522,0,0,0,13.00296595,-0.571594019412241,-0.617200827785716,-0.291699613027647,-0.280126830132464,1,0,0
2011,"DCB","BM1",-3.2944639,-2.521921,-0.8115935,8.910973268,11.92758289,33.18837808,5.864056761,0,20.3797661,0.0998984,3.50551,0,0,0,5.891315582,3.2944639,0.8115935,2.521921,-1.81779301033276,0,0,0,"BM1",2.2702835,0.6069207,1.858965,-2.31349291488196,10.20896701,35.44711905,8.690869386,0,21.9451712,0.1008513,-13.081106,0,0,0,6.192460052,-0.563892035733152,-0.667570546603202,-0.318639555650026,-0.145868265848459,1,0,0
2012,"DCB","BM3",-3.8391568,-2.123671,-0.7264909,9.068413527,10.07335124,29.88374891,4.399003038,0,17.9990359,0.0981717,7.428501,0,0,0,10.54183691,3.8391568,0.7264909,2.123671,-1.82290688783,0,0,0,"BM1",3.2944639,0.8115935,2.521921,-1.81779301033276,11.92758289,33.18837808,5.864056761,0,20.3797661,0.0998984,3.50551,0,0,0,5.891315582,-0.60663846839267,-0.658311418761534,-0.278275274010939,-0.122580944456134,1,0,0
2013,"DCB","BM3",-2.5803117,-2.1586327,-0.7174452,9.330682255,11.24442383,26.64687424,3.183497583,0,16.2934065,0.1125734,10.9484,0,0,0,13.88657483,2.5803117,0.7174452,2.1586327,-1.5356796630726,0,0,0,"BM3",3.8391568,0.7264909,2.123671,-1.82290688783,10.07335124,29.88374891,4.399003038,0,17.9990359,0.0981717,7.428501,0,0,0,10.54183691,-0.637170420565006,-0.625409236840291,-0.183566511287358,-0.239543022512241,0,0,1
2014,"DCB","BM3",-3.2952355,-1.7284047,-0.6141323,9.466774565,11.1989531,25.18602963,1.685898123,0,14.1285672,0.1210003,14.034232,0,0,0,15.5252739,3.2952355,0.6141323,1.7284047,-1.37654343786018,0,0,0,"BM3",2.5803117,0.7174452,2.1586327,-1.5356796630726,11.24442383,26.64687424,3.183497583,0,16.2934065,0.1125734,10.9484,0,0,0,13.88657483,-0.6150918215822,-0.614052276928092,-0.150048303342354,-0.327258189057287,0,0,1
2015,"DCB","BM3",-2.8893431,-1.9726176,-0.638174,9.688577829,10.15519069,24.96591134,1.762398688,0,11.6931352,0.1336585,13.942081,0,0,0,20.16523348,2.8893431,0.638174,1.9726176,-1.27931403632717,1,1,0,"BM3",3.2952355,0.6141323,1.7284047,-1.37654343786018,11.1989531,25.18602963,1.685898123,0,14.1285672,0.1210003,14.034232,0,0,0,15.5252739,-0.57080019379621,-0.610318826780828,-0.107013013002269,-0.421356573674293,0,0,1
