"Year","bank_id","Model","MES","CoVaR","ACoVaR","Size","Lev","Cost_TI","NPA","DSIB","RWA_TA","WPS","ROE","Acquirer","Target","Type","Distance","MES_pos","ACoVar_pos","CoVar_pos","SIZE_ortho","INSTABILITY","ENDOGENOUS","EXOGENOUS","Model_lag","MES_lag","ACoVar_lag","CoVar_lag","SIZE_lag","Lev_lag","Cost_TI_lag","NPA_lag","DSIB_lag","RWA_TA_lag","WPS_lag","ROE_lag","Type_lag","Acquirer_lag","Target_lag","Distance_lag","IMR_BM4","IMR_BM1","IMR_BM2","IMR_BM3","BM1_lag","BM2_lag","BM3_lag"
2016,"ALLH*","BM4",-3.670249,-2.2118645,-0.9030025,12.38766629,17.05238485,17.67109198,9.755149947,0,2.3224862,1.9880247,-5.566431431,1,0,1,8.525774094,3.670249,0.9030025,2.2118645,0.289324266469614,1,1,0,"BM4",4.102709,0.9145556,2.2800738,0.613010771370101,17.96254402,17.10644413,5.459324182,0,2.4076717,2.0503219,5.080321,1,0,0,6.764196028,-0.539742708099153,-0.745769043174822,-0.243846327850126,-0.05500504294063,0,0,0
2017,"ALLH*","BM2",-2.6849445,-1.8488856,-0.8744077,12.37597525,16.58024933,20.01796163,13.0850042,0,2.740114,1.8167768,-2.210939133,1,0,1,15.68822448,2.6849445,0.8744077,1.8488856,0.201334674298585,1,1,0,"BM4",3.670249,0.9030025,2.2118645,0.289324266469614,17.05238485,17.67109198,9.755149947,0,2.3224862,1.9880247,-5.566431431,1,1,0,8.525774094,-0.58827802769474,-0.607258853708503,-0.411326734147876,-0.0863806299758157,0,0,0
2018,"ALLH*","BM2",-1.0379421,-2.0170711,-0.8854631,12.44001492,24.61089551,20.92601465,15.95977473,0,3.8434004,1.8111221,-38.05745979,0,0,1,18.7000048,1.0379421,0.8854631,2.0170711,0.388063534687453,1,1,0,"BM2",2.6849445,0.8744077,1.8488856,0.201334674298585,16.58024933,20.01796163,13.0850042,0,2.740114,1.8167768,-2.210939133,1,1,0,15.68822448,-0.489326375348482,-0.364107860649924,-0.728837255965831,-0.0349928629557324,0,1,0
2019,"ALLH*","BM2",-3.4059265,-2.1110051,-0.887709,12.42350299,27.2253145,23.93816951,17.55082303,0,6.7429248,1.6632265,-85.92284274,0,1,1,19.89697701,3.4059265,0.887709,2.1110051,0.279604128749757,1,1,0,"BM2",1.0379421,0.8854631,2.0170711,0.388063534687453,24.61089551,20.92601465,15.95977473,0,3.8434004,1.8111221,-38.05745979,1,0,0,18.7000048,-0.179482755605417,-0.519258402606274,-0.789039160366465,-0.0193222691529976,0,1,0
2020,"ALLH*","BM2",-10.150612,-2.3020851,-0.8994784,12.46072307,20.37484993,24.86150457,17.10773543,0,14.6113521,1.6358338,-49.52107025,0,1,1,25.64054232,10.150612,0.8994784,2.3020851,0.34280291152548,1,0,1,"BM2",3.4059265,0.887709,2.1110051,0.279604128749757,27.2253145,23.93816951,17.55082303,0,6.7429248,1.6632265,-85.92284274,1,0,1,19.89697701,-0.0841848611916287,-0.29579222663841,-0.923366002811554,-0.0000189140033431648,0,1,0
2006,"ANDR*","BM2",-4.8128786,-2.6929284,-0.816737,10.61322974,14.05327113,27.97608537,1.943426197,0,8.5181756,1.5670855,20.524347,0,0,1,17.72491098,4.8128786,0.816737,2.6929284,-0.375363206438283,0,0,0,"BM2",3.0141145,0.7700111,2.186231,-0.278223212996111,17.81636603,27.3271225,2.462330641,0,10.0922339,1.4993099,31.62095,1,0,0,17.08429204,-0.412358321918008,-0.533554176423598,-0.655126787501153,-0.0872824710239189,0,1,0
2007,"ANDR*","BM4",-3.5612206,-2.9783736,-0.7756947,10.76934773,15.06235115,24.80419694,1.406155917,0,9.0041669,1.5370781,17.781251,0,0,1,15.0024949,3.5612206,0.7756947,2.9783736,-0.246313692636594,1,0,1,"BM2",4.8128786,0.816737,2.6929284,-0.375363206438283,14.05327113,27.97608537,1.943426197,0,8.5181756,1.5670855,20.524347,1,0,0,17.72491098,-0.442711768336054,-0.620580814277668,-0.463233849901137,-0.263874757803806,0,1,0
2008,"ANDR*","BM1",-5.7065176,-4.1553198,-0.9381841,10.9436298,17.41685376,18.7982489,1.076513485,0,7.3816166,1.489025,17.970969,0,0,1,18.79148796,5.7065176,0.9381841,4.1553198,-0.14072152512047,1,0,1,"BM4",3.5612206,0.7756947,2.9783736,-0.246313692636594,15.06235115,24.80419694,1.406155917,0,9.0041669,1.5370781,17.781251,1,0,0,15.0024949,-0.463297809549321,-0.67341872959211,-0.338733278746136,-0.29129536031025,0,0,0
2009,"ANDR*","BM1",-3.0980919,-3.3524675,-0.7418069,11.1341394,18.77415177,17.98465707,0.82862905,0,5.3581514,1.4616559,18.939225,0,0,1,20.26321552,3.0980919,0.7418069,3.3524675,0.104948630103983,1,0,1,"BM1",5.7065176,0.9381841,4.1553198,-0.14072152512047,17.41685376,18.7982489,1.076513485,0,7.3816166,1.489025,17.970969,1,0,0,18.79148796,-0.443915244958004,-0.691608943877404,-0.266199109909257,-0.351509664157747,1,0,0
2010,"ANDR*","BM1",-2.543496,-1.9941661,-0.6797123,11.4113622,20.48560344,18.39233567,0.863404664,0,3.8538871,1.6366025,25.961112,0,0,1,19.60049128,2.543496,0.6797123,1.9941661,0.490151554653249,0,0,0,"BM1",3.0980919,0.7418069,3.3524675,0.104948630103983,18.77415177,17.98465707,0.82862905,0,5.3581514,1.4616559,18.939225,1,0,0,20.26321552,-0.410279722490723,-0.71755039261748,-0.271686064430129,-0.337943507861035,1,0,0
